REF_DATE,GEO,DGUID,Labour force status (8),Age (15A),Coordinate,Gender (3):Total - Gender[1],Symbol,Gender (3):Men+[2],Symbol,Gender (3):Women+[3],Symbol
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,25 to 34 years,41.4.7,20,,10,,10,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,25 to 29 years,41.4.8,0,,0,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,30 to 34 years,41.4.9,15,,0,,10,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,35 to 44 years,41.4.10,20,,0,,20,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,45 to 54 years,41.4.11,25,,20,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,55 to 64 years,41.4.12,30,,15,,10,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,65 years and over,41.4.13,10,,0,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,65 to 74 years,41.4.14,10,,0,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployed,75 years and over,41.4.15,0,,0,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,Total - Age,41.5.1,470,,240,,235,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,15 to 24 years,41.5.2,35,,20,,20,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,15 to 19 years,41.5.3,20,,10,,10,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,20 to 24 years,41.5.4,15,,15,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,25 to 64 years,41.5.5,165,,85,,80,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,25 to 54 years,41.5.6,75,,30,,40,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,25 to 34 years,41.5.7,15,,0,,10,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,25 to 29 years,41.5.8,10,,0,,10,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,30 to 34 years,41.5.9,10,,0,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,35 to 44 years,41.5.10,0,,0,,0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,45 to 54 years,41.5.11,50,,30,,25,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,55 to 64 years,41.5.12,90,,50,,35,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,65 years and over,41.5.13,275,,135,,140,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,65 to 74 years,41.5.14,185,,85,,105,
2021,"Division No.  1, Subd. Y",2021A00051001293,Not in the labour force,75 years and over,41.5.15,90,,55,,30,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,Total - Age,41.6.1,55.5,,55.1,,55.8,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,15 to 24 years,41.6.2,56.3,,55.6,,57.1,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,15 to 19 years,41.6.3,55.6,,75.0,,40.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,20 to 24 years,41.6.4,50.0,,75.0,,100.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,25 to 64 years,41.6.5,75.0,,75.0,,73.8,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,25 to 54 years,41.6.6,80.7,,82.5,,81.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,25 to 34 years,41.6.7,84.2,,88.9,,70.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,25 to 29 years,41.6.8,87.5,,100.0,,75.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,30 to 34 years,41.6.9,83.3,,83.3,,83.3,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,35 to 44 years,41.6.10,92.3,,100.0,,93.8,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,45 to 54 years,41.6.11,75.7,,75.0,,75.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,55 to 64 years,41.6.12,64.0,,63.0,,63.6,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,65 years and over,41.6.13,12.7,,9.7,,16.1,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,65 to 74 years,41.6.14,17.4,,15.0,,20.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Participation rate,75 years and over,41.6.15,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,Total - Age,41.7.1,45.0,,43.9,,46.2,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,15 to 24 years,41.7.2,50.0,,33.3,,57.1,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,15 to 19 years,41.7.3,55.6,,50.0,,40.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,20 to 24 years,41.7.4,37.5,,50.0,,100.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,25 to 64 years,41.7.5,62.1,,60.3,,61.5,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,25 to 54 years,41.7.6,66.3,,67.5,,66.7,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,25 to 34 years,41.7.7,63.2,,77.8,,60.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,25 to 29 years,41.7.8,62.5,,75.0,,75.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,30 to 34 years,41.7.9,50.0,,66.7,,50.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,35 to 44 years,41.7.10,76.9,,100.0,,68.8,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,45 to 54 years,41.7.11,62.2,,55.0,,68.8,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,55 to 64 years,41.7.12,54.0,,48.1,,59.1,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,65 years and over,41.7.13,11.1,,9.7,,12.9,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,65 to 74 years,41.7.14,15.2,,15.0,,16.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Employment rate,75 years and over,41.7.15,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,Total - Age,41.8.1,18.8,,22.0,,15.5,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,15 to 24 years,41.8.2,22.2,,40.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,15 to 19 years,41.8.3,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,20 to 24 years,41.8.4,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,25 to 64 years,41.8.5,17.2,,19.6,,16.7,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,25 to 54 years,41.8.6,17.9,,21.2,,17.6,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,25 to 34 years,41.8.7,25.0,,25.0,,28.6,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,25 to 29 years,41.8.8,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,30 to 34 years,41.8.9,30.0,,0.0,,40.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,35 to 44 years,41.8.10,16.7,,0.0,,26.7,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,45 to 54 years,41.8.11,17.9,,26.7,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,55 to 64 years,41.8.12,18.8,,17.6,,14.3,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,65 years and over,41.8.13,25.0,,0.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,65 to 74 years,41.8.14,25.0,,0.0,,0.0,
2021,"Division No.  1, Subd. Y",2021A00051001293,Unemployment rate,75 years and over,41.8.15,0.0,,0.0,,0.0,
2021,Whitbourne,2021A00051001298,Total - Labour force status,Total - Age,42.1.1,815,,390,,420,
2021,Whitbourne,2021A00051001298,Total - Labour force status,15 to 24 years,42.1.2,100,,45,,55,
2021,Whitbourne,2021A00051001298,Total - Labour force status,15 to 19 years,42.1.3,55,,30,,25,
2021,Whitbourne,2021A00051001298,Total - Labour force status,20 to 24 years,42.1.4,50,,20,,30,
2021,Whitbourne,2021A00051001298,Total - Labour force status,25 to 64 years,42.1.5,475,,220,,255,
2021,Whitbourne,2021A00051001298,Total - Labour force status,25 to 54 years,42.1.6,325,,150,,175,
2021,Whitbourne,2021A00051001298,Total - Labour force status,25 to 34 years,42.1.7,70,,40,,30,
2021,Whitbourne,2021A00051001298,Total - Labour force status,25 to 29 years,42.1.8,40,,20,,20,
2021,Whitbourne,2021A00051001298,Total - Labour force status,30 to 34 years,42.1.9,35,,20,,10,
2021,Whitbourne,2021A00051001298,Total - Labour force status,35 to 44 years,42.1.10,80,,45,,40,
2021,Whitbourne,2021A00051001298,Total - Labour force status,45 to 54 years,42.1.11,170,,65,,105,
2021,Whitbourne,2021A00051001298,Total - Labour force status,55 to 64 years,42.1.12,150,,70,,80,
2021,Whitbourne,2021A00051001298,Total - Labour force status,65 years and over,42.1.13,235,,125,,115,
2021,Whitbourne,2021A00051001298,Total - Labour force status,65 to 74 years,42.1.14,115,,65,,50,
2021,Whitbourne,2021A00051001298,Total - Labour force status,75 years and over,42.1.15,125,,65,,60,
2021,Whitbourne,2021A00051001298,In the labour force,Total - Age,42.2.1,440,,210,,225,
2021,Whitbourne,2021A00051001298,In the labour force,15 to 24 years,42.2.2,60,,25,,35,
2021,Whitbourne,2021A00051001298,In the labour force,15 to 19 years,42.2.3,20,,15,,10,
2021,Whitbourne,2021A00051001298,In the labour force,20 to 24 years,42.2.4,40,,15,,25,
2021,Whitbourne,2021A00051001298,In the labour force,25 to 64 years,42.2.5,355,,175,,185,
2021,Whitbourne,2021A00051001298,In the labour force,25 to 54 years,42.2.6,270,,130,,140,
2021,Whitbourne,2021A00051001298,In the labour force,25 to 34 years,42.2.7,65,,40,,20,
2021,Whitbourne,2021A00051001298,In the labour force,25 to 29 years,42.2.8,30,,20,,10,
2021,Whitbourne,2021A00051001298,In the labour force,30 to 34 years,42.2.9,35,,20,,10,
2021,Whitbourne,2021A00051001298,In the labour force,35 to 44 years,42.2.10,60,,35,,25,
2021,Whitbourne,2021A00051001298,In the labour force,45 to 54 years,42.2.11,150,,60,,90,
2021,Whitbourne,2021A00051001298,In the labour force,55 to 64 years,42.2.12,85,,40,,45,
2021,Whitbourne,2021A00051001298,In the labour force,65 years and over,42.2.13,25,,15,,10,
2021,Whitbourne,2021A00051001298,In the labour force,65 to 74 years,42.2.14,20,,10,,10,
2021,Whitbourne,2021A00051001298,In the labour force,75 years and over,42.2.15,0,,0,,0,
2021,Whitbourne,2021A00051001298,Employed,Total - Age,42.3.1,360,,165,,190,
2021,Whitbourne,2021A00051001298,Employed,15 to 24 years,42.3.2,45,,20,,25,
2021,Whitbourne,2021A00051001298,Employed,15 to 19 years,42.3.3,15,,10,,10,
2021,Whitbourne,2021A00051001298,Employed,20 to 24 years,42.3.4,25,,15,,20,
2021,Whitbourne,2021A00051001298,Employed,25 to 64 years,42.3.5,295,,135,,160,
2021,Whitbourne,2021A00051001298,Employed,25 to 54 years,42.3.6,225,,100,,125,
2021,Whitbourne,2021A00051001298,Employed,25 to 34 years,42.3.7,50,,40,,10,
2021,Whitbourne,2021A00051001298,Employed,25 to 29 years,42.3.8,30,,20,,10,
2021,Whitbourne,2021A00051001298,Employed,30 to 34 years,42.3.9,25,,20,,0,
2021,Whitbourne,2021A00051001298,Employed,35 to 44 years,42.3.10,45,,20,,25,
2021,Whitbourne,2021A00051001298,Employed,45 to 54 years,42.3.11,125,,40,,90,
2021,Whitbourne,2021A00051001298,Employed,55 to 64 years,42.3.12,65,,30,,35,
2021,Whitbourne,2021A00051001298,Employed,65 years and over,42.3.13,20,,15,,0,
2021,Whitbourne,2021A00051001298,Employed,65 to 74 years,42.3.14,15,,10,,0,
2021,Whitbourne,2021A00051001298,Employed,75 years and over,42.3.15,0,,0,,0,
2021,Whitbourne,2021A00051001298,Unemployed,Total - Age,42.4.1,80,,45,,35,
2021,Whitbourne,2021A00051001298,Unemployed,15 to 24 years,42.4.2,15,,10,,10,
2021,Whitbourne,2021A00051001298,Unemployed,15 to 19 years,42.4.3,10,,10,,0,
2021,Whitbourne,2021A00051001298,Unemployed,20 to 24 years,42.4.4,10,,0,,10,
2021,Whitbourne,2021A00051001298,Unemployed,25 to 64 years,42.4.5,60,,40,,25,
2021,Whitbourne,2021A00051001298,Unemployed,25 to 54 years,42.4.6,40,,30,,15,
2021,Whitbourne,2021A00051001298,Unemployed,25 to 34 years,42.4.7,10,,0,,10,
2021,Whitbourne,2021A00051001298,Unemployed,25 to 29 years,42.4.8,0,,0,,0,
2021,Whitbourne,2021A00051001298,Unemployed,30 to 34 years,42.4.9,10,,0,,10,
2021,Whitbourne,2021A00051001298,Unemployed,35 to 44 years,42.4.10,15,,10,,0,
2021,Whitbourne,2021A00051001298,Unemployed,45 to 54 years,42.4.11,20,,15,,0,
2021,Whitbourne,2021A00051001298,Unemployed,55 to 64 years,42.4.12,15,,10,,10,
2021,Whitbourne,2021A00051001298,Unemployed,65 years and over,42.4.13,0,,0,,0,
2021,Whitbourne,2021A00051001298,Unemployed,65 to 74 years,42.4.14,0,,0,,0,
2021,Whitbourne,2021A00051001298,Unemployed,75 years and over,42.4.15,0,,0,,0,
2021,Whitbourne,2021A00051001298,Not in the labour force,Total - Age,42.5.1,375,,180,,195,
2021,Whitbourne,2021A00051001298,Not in the labour force,15 to 24 years,42.5.2,45,,20,,20,
2021,Whitbourne,2021A00051001298,Not in the labour force,15 to 19 years,42.5.3,30,,20,,15,
2021,Whitbourne,2021A00051001298,Not in the labour force,20 to 24 years,42.5.4,10,,0,,10,
2021,Whitbourne,2021A00051001298,Not in the labour force,25 to 64 years,42.5.5,120,,50,,70,
2021,Whitbourne,2021A00051001298,Not in the labour force,25 to 54 years,42.5.6,55,,20,,35,
2021,Whitbourne,2021A00051001298,Not in the labour force,25 to 34 years,42.5.7,10,,0,,10,
2021,Whitbourne,2021A00051001298,Not in the labour force,25 to 29 years,42.5.8,10,,0,,10,
2021,Whitbourne,2021A00051001298,Not in the labour force,30 to 34 years,42.5.9,0,,0,,0,
2021,Whitbourne,2021A00051001298,Not in the labour force,35 to 44 years,42.5.10,25,,10,,10,
2021,Whitbourne,2021A00051001298,Not in the labour force,45 to 54 years,42.5.11,20,,0,,15,
2021,Whitbourne,2021A00051001298,Not in the labour force,55 to 64 years,42.5.12,60,,30,,35,
2021,Whitbourne,2021A00051001298,Not in the labour force,65 years and over,42.5.13,215,,110,,105,
2021,Whitbourne,2021A00051001298,Not in the labour force,65 to 74 years,42.5.14,95,,50,,40,
2021,Whitbourne,2021A00051001298,Not in the labour force,75 years and over,42.5.15,120,,60,,60,
2021,Whitbourne,2021A00051001298,Participation rate,Total - Age,42.6.1,54.0,,53.8,,53.6,
2021,Whitbourne,2021A00051001298,Participation rate,15 to 24 years,42.6.2,60.0,,55.6,,63.6,
2021,Whitbourne,2021A00051001298,Participation rate,15 to 19 years,42.6.3,36.4,,50.0,,40.0,
2021,Whitbourne,2021A00051001298,Participation rate,20 to 24 years,42.6.4,80.0,,75.0,,83.3,
2021,Whitbourne,2021A00051001298,Participation rate,25 to 64 years,42.6.5,74.7,,79.5,,72.5,
2021,Whitbourne,2021A00051001298,Participation rate,25 to 54 years,42.6.6,83.1,,86.7,,80.0,
2021,Whitbourne,2021A00051001298,Participation rate,25 to 34 years,42.6.7,92.9,,100.0,,66.7,
2021,Whitbourne,2021A00051001298,Participation rate,25 to 29 years,42.6.8,75.0,,100.0,,50.0,
2021,Whitbourne,2021A00051001298,Participation rate,30 to 34 years,42.6.9,100.0,,100.0,,100.0,
2021,Whitbourne,2021A00051001298,Participation rate,35 to 44 years,42.6.10,75.0,,77.8,,62.5,
2021,Whitbourne,2021A00051001298,Participation rate,45 to 54 years,42.6.11,88.2,,92.3,,85.7,
2021,Whitbourne,2021A00051001298,Participation rate,55 to 64 years,42.6.12,56.7,,57.1,,56.3,
2021,Whitbourne,2021A00051001298,Participation rate,65 years and over,42.6.13,10.6,,12.0,,8.7,
2021,Whitbourne,2021A00051001298,Participation rate,65 to 74 years,42.6.14,17.4,,15.4,,20.0,
2021,Whitbourne,2021A00051001298,Participation rate,75 years and over,42.6.15,0.0,,0.0,,0.0,
2021,Whitbourne,2021A00051001298,Employment rate,Total - Age,42.7.1,44.2,,42.3,,45.2,
2021,Whitbourne,2021A00051001298,Employment rate,15 to 24 years,42.7.2,45.0,,44.4,,45.5,
2021,Whitbourne,2021A00051001298,Employment rate,15 to 19 years,42.7.3,27.3,,33.3,,40.0,
2021,Whitbourne,2021A00051001298,Employment rate,20 to 24 years,42.7.4,50.0,,75.0,,66.7,
2021,Whitbourne,2021A00051001298,Employment rate,25 to 64 years,42.7.5,62.1,,61.4,,62.7,
2021,Whitbourne,2021A00051001298,Employment rate,25 to 54 years,42.7.6,69.2,,66.7,,71.4,
2021,Whitbourne,2021A00051001298,Employment rate,25 to 34 years,42.7.7,71.4,,100.0,,33.3,
2021,Whitbourne,2021A00051001298,Employment rate,25 to 29 years,42.7.8,75.0,,100.0,,50.0,
2021,Whitbourne,2021A00051001298,Employment rate,30 to 34 years,42.7.9,71.4,,100.0,,0.0,
2021,Whitbourne,2021A00051001298,Employment rate,35 to 44 years,42.7.10,56.3,,44.4,,62.5,
2021,Whitbourne,2021A00051001298,Employment rate,45 to 54 years,42.7.11,73.5,,61.5,,85.7,
2021,Whitbourne,2021A00051001298,Employment rate,55 to 64 years,42.7.12,43.3,,42.9,,43.8,
2021,Whitbourne,2021A00051001298,Employment rate,65 years and over,42.7.13,8.5,,12.0,,0.0,
2021,Whitbourne,2021A00051001298,Employment rate,65 to 74 years,42.7.14,13.0,,15.4,,0.0,
2021,Whitbourne,2021A00051001298,Employment rate,75 years and over,42.7.15,0.0,,0.0,,0.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,Total - Age,42.8.1,18.2,,21.4,,15.6,
2021,Whitbourne,2021A00051001298,Unemployment rate,15 to 24 years,42.8.2,25.0,,40.0,,28.6,
2021,Whitbourne,2021A00051001298,Unemployment rate,15 to 19 years,42.8.3,50.0,,66.7,,0.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,20 to 24 years,42.8.4,25.0,,0.0,,40.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,25 to 64 years,42.8.5,16.9,,22.9,,13.5,
2021,Whitbourne,2021A00051001298,Unemployment rate,25 to 54 years,42.8.6,14.8,,23.1,,10.7,
2021,Whitbourne,2021A00051001298,Unemployment rate,25 to 34 years,42.8.7,15.4,,0.0,,50.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,25 to 29 years,42.8.8,0.0,,0.0,,0.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,30 to 34 years,42.8.9,28.6,,0.0,,100.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,35 to 44 years,42.8.10,25.0,,28.6,,0.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,45 to 54 years,42.8.11,13.3,,25.0,,0.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,55 to 64 years,42.8.12,17.6,,25.0,,22.2,
2021,Whitbourne,2021A00051001298,Unemployment rate,65 years and over,42.8.13,0.0,,0.0,,0.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,65 to 74 years,42.8.14,0.0,,0.0,,0.0,
2021,Whitbourne,2021A00051001298,Unemployment rate,75 years and over,42.8.15,0.0,,0.0,,0.0,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,Total - Age,43.1.1,2425,,1135,,1290,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,15 to 24 years,43.1.2,170,,70,,105,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,15 to 19 years,43.1.3,95,,35,,60,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,20 to 24 years,43.1.4,75,,35,,45,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,25 to 64 years,43.1.5,1415,,655,,760,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,25 to 54 years,43.1.6,905,,415,,490,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,25 to 34 years,43.1.7,215,,105,,110,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,25 to 29 years,43.1.8,150,,75,,75,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,30 to 34 years,43.1.9,70,,30,,40,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,35 to 44 years,43.1.10,310,,155,,155,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,45 to 54 years,43.1.11,380,,155,,220,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,55 to 64 years,43.1.12,510,,235,,270,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,65 years and over,43.1.13,835,,410,,425,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,65 to 74 years,43.1.14,550,,270,,275,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Labour force status,75 years and over,43.1.15,290,,140,,150,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,Total - Age,43.2.1,1180,,590,,595,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,15 to 24 years,43.2.2,80,,35,,45,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,15 to 19 years,43.2.3,35,,15,,15,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,20 to 24 years,43.2.4,45,,15,,25,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,25 to 64 years,43.2.5,1030,,515,,515,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,25 to 54 years,43.2.6,740,,350,,390,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,25 to 34 years,43.2.7,170,,85,,85,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,25 to 29 years,43.2.8,110,,55,,55,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,30 to 34 years,43.2.9,60,,30,,30,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,35 to 44 years,43.2.10,265,,135,,130,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,45 to 54 years,43.2.11,305,,135,,175,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,55 to 64 years,43.2.12,285,,170,,125,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,65 years and over,43.2.13,75,,35,,40,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,65 to 74 years,43.2.14,65,,30,,35,
2021,"Division No.  1, Subd. E",2021A00051001304,In the labour force,75 years and over,43.2.15,10,,0,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,Total - Age,43.3.1,935,,440,,495,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,15 to 24 years,43.3.2,50,,15,,35,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,15 to 19 years,43.3.3,25,,15,,10,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,20 to 24 years,43.3.4,30,,0,,25,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,25 to 64 years,43.3.5,820,,400,,420,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,25 to 54 years,43.3.6,610,,275,,330,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,25 to 34 years,43.3.7,130,,65,,65,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,25 to 29 years,43.3.8,75,,40,,35,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,30 to 34 years,43.3.9,55,,30,,25,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,35 to 44 years,43.3.10,230,,110,,120,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,45 to 54 years,43.3.11,250,,100,,150,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,55 to 64 years,43.3.12,210,,120,,85,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,65 years and over,43.3.13,60,,20,,35,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,65 to 74 years,43.3.14,50,,20,,30,
2021,"Division No.  1, Subd. E",2021A00051001304,Employed,75 years and over,43.3.15,10,,0,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,Total - Age,43.4.1,250,,150,,100,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,15 to 24 years,43.4.2,25,,15,,10,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,15 to 19 years,43.4.3,10,,0,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,20 to 24 years,43.4.4,15,,10,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,25 to 64 years,43.4.5,210,,120,,90,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,25 to 54 years,43.4.6,130,,75,,55,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,25 to 34 years,43.4.7,40,,20,,20,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,25 to 29 years,43.4.8,35,,15,,15,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,30 to 34 years,43.4.9,10,,0,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,35 to 44 years,43.4.10,35,,25,,10,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,45 to 54 years,43.4.11,55,,30,,25,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,55 to 64 years,43.4.12,75,,45,,35,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,65 years and over,43.4.13,20,,15,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,65 to 74 years,43.4.14,20,,15,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Unemployed,75 years and over,43.4.15,0,,0,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,Total - Age,43.5.1,1240,,540,,700,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,15 to 24 years,43.5.2,90,,35,,60,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,15 to 19 years,43.5.3,60,,15,,40,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,20 to 24 years,43.5.4,35,,15,,15,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,25 to 64 years,43.5.5,385,,135,,250,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,25 to 54 years,43.5.6,165,,60,,100,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,25 to 34 years,43.5.7,45,,20,,25,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,25 to 29 years,43.5.8,40,,20,,25,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,30 to 34 years,43.5.9,0,,0,,0,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,35 to 44 years,43.5.10,45,,25,,25,
2021,"Division No.  1, Subd. E",2021A00051001304,Not in the labour force,45 to 54 years,43.5.11,70,,20,,45,
