CSDNAME,CSDUID,Proportion of the Labour Force that is Men+ (%),Proportion of the Employed Population that is Men+ (%)
Upper Miramichi,1309027,52.4064,47.8571
Northesk,1309028,51.3761,48.6772
Newcastle,1309031,59.1398,52.0548
Eel Ground 2,1309035,47.9167,50
Alnwick,1309036,53.6278,49.7992
Neguac,1309038,53.1469,49.1667
Esgenoôpetitj 14,1309044,53.7736,54.2857
Miramichi,1309050,48.6936,47.0942
New Maryland,1310001,51.9608,51.5464
New Maryland,1310002,50.783,50.7177
Manners Sutton,1310004,51.6129,50
Harvey,1310005,51.6129,53.3333
McAdam,1310006,51.6129,56.0976
McAdam,1310007,0,0
North Lake,1310008,68.75,68.75
Canterbury,1310011,55,57.8947
Canterbury,1310012,50,48
Meductic,1310013,50,45.4545
Dumfries,1310014,51.2821,47.3684
Prince William,1310016,57.6577,57
Hanwell,1310017,50.566,50.3043
Kingsclear,1310018,54.4521,53.8462
Kingsclear 6,1310019,46.3415,50
Queensbury,1310021,55.0459,54.0816
Southampton,1310024,50.6579,50.7353
Millville,1310025,65.2174,65.2174
Bright,1310026,52.1472,51.89
Douglas,1310028,51.4196,50.519
Saint Marys,1310031,49.1039,48.9403
Fredericton,1310032,50.9669,50.7439
Devon 30,1310034,47.5,42.2535
Stanley,1310036,52.439,50
Stanley,1310037,54.8387,50
Nackawic,1310054,52.439,51.9481
Richmond,1311001,52.4823,52.4194
Woodstock,1311004,53.252,53.304
Woodstock 23,1311005,52.2727,51.2195
Woodstock,1311006,53.578,53.1313
Northampton,1311008,51.2315,48.6486
Brighton,1311011,53.9877,52.7027
Hartland,1311012,51.1111,50.5747
Wakefield,1311014,54.2763,54.6099
Wilmot,1311018,55.2381,53.9326
Centreville,1311019,52.2727,54.7619
Simonds,1311021,59.6774,56.6667
Peel,1311024,55.5556,53
Aberdeen,1311026,54.7619,54.6667
Florenceville-Bristol,1311027,48.4663,48.6842
Kent,1311028,53.5,53.4091
Bath,1311030,58.9744,55.8824
Wicklow,1311031,55.6886,55.0633
Andover,1312001,62.7907,62.1622
Aroostook,1312002,56,57.1429
Perth,1312004,48.3871,47.7778
Perth-Andover,1312006,49.6183,46.6102
Tobique 20,1312007,45.6522,43.8356
Gordon,1312008,50.7576,50
Plaster Rock,1312009,56.7568,57.8125
Lorne,1312011,61.9048,50
Denmark,1312014,57.3913,52.4272
Grand Falls,1312016,54.3689,55.6701
Grand Falls,1312019,53.8622,54.1667
Drummond,1312021,52.2822,52.1127
Drummond,1312023,50,51.3889
Saint-André,1313002,51.3966,50.6173
Saint-Léonard,1313004,53.4653,51.6129
Saint-Léonard,1313006,52.8455,51.8182
Notre-Dame-de-Lourdes,1313008,60,50
Sainte-Anne,1313011,47.0588,50
Sainte-Anne-de-Madawaska,1313012,56.5217,55.9322
Rivière-Verte,1313014,47.8873,46.1538
Rivière-Verte,1313015,55.5556,49.1228
Saint-Basile,1313018,47.6923,49.1228
St. Basile 10,1313020,52.7778,55.8824
Saint-Joseph,1313022,53.4483,51.9231
Saint-Jacques,1313024,54.4304,54
Edmundston,1313027,52.0918,51.9795
Haut-Madawaska,1313031,55.5844,55.4622
Lac Baker,1313037,55.9322,57.4074
Durham,1314001,57.377,51.1111
Colborne,1314003,65,60
Charlo,1314004,50.8065,47.3684
Balmoral,1314005,50,44.4444
Balmoral,1314006,51.25,49.3056
Dalhousie,1314008,50,50
Eel River 3,1314010,45.7143,48.1481
Eel River Crossing,1314011,51.087,49.6933
Addington,1314012,54.9296,50.8772
Atholville,1314013,51.0903,48.0565
Campbellton,1314014,48.2993,46.0938
Tide Head,1314015,51.0417,52.9412
Eldon,1314016,51.7857,54.7619
Dalhousie,1314017,48.0769,46.7391
Kedgwick,1314020,51.2953,49.6894
Saint-Quentin,1314021,56.3953,51.7986
Saint-Quentin,1314022,52.8037,49.4444
Belledune,1314025,55.3398,51.2821
Indian Ranch,1314026,50,50
Tracadie,1315002,51.1565,48.6465
Allardville,1315006,54.6448,47.2222
Bathurst,1315008,51.5991,50.2392
Pabineau 11,1315010,46.6667,46.1538
Bathurst,1315011,52.3166,51.2061
Beresford,1315012,52.3577,49.5362
Pointe-Verte,1315013,56.4706,54.9296
Petit-Rocher,1315014,49.697,47.619
Beresford,1315015,49.6241,48.1586
New Bandon,1315016,57.6577,58.9474
Saint-Léolin,1315017,55,51.5152
Paquetville,1315019,55.4974,51.3158
Paquetville,1315020,48.5294,44.6429
Saint-Isidore,1315021,52.0325,49.0385
Saint-Isidore,1315022,53.8462,50
Inkerman,1315024,53.8095,51.4286
Caraquet,1315026,53.2847,50.4505
Bas-Caraquet,1315027,57.2727,53.1915
Caraquet,1315028,48,48.2574
Shippagan,1315029,53.8803,53.1328
Le Goulet,1315030,57.7465,60.6061
Shippagan,1315031,49.8054,49.345
Lamèque,1315032,55.7143,52.1008
Sainte-Marie-Saint-Raphaël,1315033,60.3175,60.3774
Bertrand,1315036,49,49.4253
Nigadoo,1315037,53.3333,51.2821
Grande-Anse,1315038,47.619,49.0566
Maisonnette,1315040,52.2727,55.2632
Les Îles-de-la-Madeleine,2401023,50.0782,49.6021
Grosse-Île,2401042,55.3846,53.1915
Percé,2402005,53.2319,53.4247
Sainte-Thérèse-de-Gaspé,2402010,56.1905,56.1224
Grande-Rivière,2402015,51.4563,52.9412
Chandler,2402028,49.5601,48.0456
Port-Daniel--Gascons,2402047,53.0612,51.4124
Gaspé,2403005,50.8591,49.9621
Cloridorme,2403010,45.098,42.8571
Petite-Vallée,2403015,63.6364,63.6364
Grande-Vallée,2403020,48.4848,50
Murdochville,2403025,50.7692,49.1228
Sainte-Madeleine-de-la-Rivière-Madeleine,2404005,52.9412,46.1538
Saint-Maxime-du-Mont-Louis,2404010,46.6667,45.1613
Mont-Saint-Pierre,2404015,55,58.8235
Rivière-à-Claude,2404020,100,0
Marsoui,2404025,45.4545,47.0588
La Martre,2404030,47.3684,38.8889
Sainte-Anne-des-Monts,2404037,48.6641,47.1239
Cap-Chat,2404047,53.6723,51.25
Mont-Albert,2404902,47.3684,50
Shigawake,2405010,43.4783,47.619
Saint-Godefroi,2405015,50,46.875
Hope Town,2405020,59.2593,45.4545
Hope,2405025,43.1373,42.2222
Paspébiac,2405032,48.5401,46.1864
New Carlisle,2405040,51.4563,48.2353
Bonaventure,2405045,47.6923,47.2103
Saint-Elzéar,2405050,48.8889,41.0256
Saint-Siméon,2405055,47.2868,46.6667
Caplan,2405060,50,49.3506
Saint-Alphonse,2405065,61.6667,64.1509
New Richmond,2405070,53.0864,53.3333
Cascapédia--Saint-Jules,2405077,50,43.0769
Maria,2406005,50.2165,49.7717
Carleton-sur-Mer,2406013,48.5788,47.2464
Nouvelle,2406020,49.4253,45.8599
Escuminac,2406025,54.7619,52.7778
Pointe-à-la-Croix,2406030,48.7603,47.5728
Ristigouche-Partie-Sud-Est,2406035,60,57.1429
Saint-André-de-Restigouche,2406040,58.3333,55.5556
Matapédia,2406045,48,40.4762
Saint-Alexis-de-Matapédia,2406050,55.5556,42.4242
Saint-François-d'Assise,2406055,53.5714,51.1111
L'Ascension-de-Patapédia,2406060,66.6667,50
Gesgapegiag,2406802,45.8333,47.541
Sainte-Marguerite-Marie,2407005,35.7143,41.6667
Sainte-Florence,2407010,57.6923,60.8696
Causapscal,2407018,51.8135,49.1329
Albertville,2407025,68.1818,70.5882
Saint-Léon-le-Grand,2407030,52.9412,51.2821
Saint-Zénon-du-Lac-Humqui,2407035,57.1429,52
Sainte-Irène,2407040,42.8571,40.625
Amqui,2407047,49.2701,48.3301
Lac-au-Saumon,2407057,49.2188,48.3607
Saint-Alexandre-des-Lacs,2407065,57.6923,52.381
Saint-Tharcisius,2407070,58.3333,60
Saint-Vianney,2407075,57.1429,53.125
Val-Brillant,2407080,55.9524,53.5211
Sayabec,2407085,55.2448,54.1985
Saint-Cléophas,2407090,38.4615,42.8571
Saint-Moïse,2407095,56.0976,55.2632
Saint-Noël,2407100,53.8462,51.3514
Saint-Damase,2407105,52.7778,50
Les Méchins,2408005,54.0541,56.6667
Saint-Jean-de-Cherbourg,2408010,70,57.1429
Grosses-Roches,2408015,44,45.4545
Sainte-Félicité,2408023,53.1915,51.1628
Saint-Adelme,2408030,53.4884,54.2857
Saint-René-de-Matane,2408035,56.9767,53.75
Sainte-Paule,2408040,48,52.1739
Matane,2408053,51.1214,50.5863
Saint-Léandre,2408065,72.2222,66.6667
Saint-Ulric,2408073,52.5974,52.0548
Baie-des-Sables,2408080,45.4545,44.6809
La Rédemption,2409005,58.8235,51.7241
Saint-Charles-Garnier,2409010,50,50
Les Hauteurs,2409015,66.6667,68.9655
Sainte-Jeanne-d'Arc,2409020,66.6667,63.1579
Saint-Gabriel-de-Rimouski,2409025,59.1304,57.9439
Saint-Donat,2409030,49.0741,49.5146
Sainte-Angèle-de-Mérici,2409035,55.8442,59.1549
Padoue,2409040,70.5882,60
Métis-sur-Mer,2409048,42.2222,41.1765
Saint-Octave-de-Métis,2409055,56.0976,52.6316
Grand-Métis,2409060,53.3333,40
Price,2409065,49.6503,50
Saint-Joseph-de-Lepage,2409070,56.5217,58.1395
Mont-Joli,2409077,52.9058,53.0837
Sainte-Flavie,2409085,45.5556,47.0588
Sainte-Luce,2409092,50.5263,50.5576
Esprit-Saint,2410005,66.6667,58.3333
La Trinité-des-Monts,2410010,60,52.9412
Saint-Narcisse-de-Rimouski,2410015,55.6701,54.9451
Saint-Marcellin,2410025,63.1579,61.7647
Saint-Anaclet-de-Lessard,2410030,51.1976,51.875
Rimouski,2410043,49.0886,49.0476
Saint-Valérien,2410060,55.4348,55.1724
Saint-Fabien,2410070,56.5217,54.9296
Saint-Eugène-de-Ladrière,2410075,58.3333,60
Saint-Clément,2411005,52.9412,53.1915
Saint-Jean-de-Dieu,2411010,58.042,59.3985
Sainte-Rita,2411015,60.8696,57.1429
Saint-Guy,2411020,50,75
Saint-Médard,2411025,66.6667,60
Sainte-Françoise,2411030,42.5,41.6667
Saint-Éloi,2411035,60.9756,56.4103
Trois-Pistoles,2411040,48.75,49.7778
Notre-Dame-des-Neiges,2411045,53.0435,51.8519
Saint-Mathieu-de-Rioux,2411050,50.6667,52.0548
Saint-Simon-de-Rimouski,2411055,62.963,60.8696
Saint-Cyprien,2412005,58.9286,59.434
Saint-Hubert-de-Rivière-du-Loup,2412010,51.9685,52.1008
Saint-Antonin,2412015,51.1294,52.1368
Saint-Modeste,2412020,58.4615,57.9832
Saint-François-Xavier-de-Viger,2412025,58.3333,59.0909
Saint-Épiphane,2412030,53.2468,54.1667
Saint-Paul-de-la-Croix,2412035,51.4286,53.125
L'Isle-Verte,2412043,59.3985,59.0551
Notre-Dame-des-Sept-Douleurs,2412045,62.5,62.5
Cacouna,2412057,51.0417,51.7045
Saint-Arsène,2412065,51.1811,52.0661
Rivière-du-Loup,2412072,51.3084,51.4617
Notre-Dame-du-Portage,2412080,54.1353,52.4194
Dégelis,2413005,53.9568,52.7344
Saint-Jean-de-la-Lande,2413010,66.6667,66.6667
Packington,2413015,64.2857,66.0377
Saint-Marc-du-Lac-Long,2413020,54.0541,50
Rivière-Bleue,2413025,54.2169,54.6667
Saint-Eusèbe,2413030,50.8475,51.8519
Saint-Juste-du-Lac,2413040,50,50
Auclair,2413045,54.3478,51.2195
Lejeune,2413050,72.2222,76.4706
Biencourt,2413055,60.5263,61.1111
Lac-des-Aigles,2413060,58.8235,56.6667
Saint-Michel-du-Squatec,2413065,53.0864,56.5789
Témiscouata-sur-le-Lac,2413073,51.1111,50.8197
Saint-Pierre-de-Lamy,2413075,50,56.25
Saint-Louis-du-Ha! Ha!,2413080,52.8926,53.6364
Saint-Elzéar-de-Témiscouata,2413085,57.5,52.6316
Saint-Honoré-de-Témiscouata,2413090,54.386,51.9231
Pohénégamook,2413095,53.11,53.3679
Saint-Athanase,2413100,65.5172,61.5385
Mont-Carmel,2414005,48.4211,49.4253
Saint-Bruno-de-Kamouraska,2414010,57.8947,54.902
Saint-Pascal,2414018,55.3125,56.3333
Sainte-Hélène-de-Kamouraska,2414025,49.4737,48.8889
Saint-Joseph-de-Kamouraska,2414030,60,59.4595
Saint-Alexandre-de-Kamouraska,2414035,54.3103,53.0233
Saint-André-de-Kamouraska,2414040,50,50
Saint-Germain,2414045,48.6486,47.2222
Kamouraska,2414050,58.8235,60.3175
Saint-Denis-De La Bouteillerie,2414055,55.5556,55.102
Saint-Philippe-de-Néri,2414060,57.7465,57.971
Rivière-Ouelle,2414065,57.732,56.044
Saint-Pacôme,2414070,50,50.3937
Saint-Gabriel-Lalemant,2414075,62.3188,65.0794
Saint-Onésime-d'Ixworth,2414080,54,51.1628
La Pocatière,2414085,51.2626,51.3587
Sainte-Anne-de-la-Pocatière,2414090,55.625,54.3624
Saint-Irénée,2415005,53.8462,53.3333
La Malbaie,2415013,50.7752,50.7123
Notre-Dame-des-Monts,2415025,52.1739,52.381
Saint-Aimé-des-Lacs,2415030,56.4103,53.7736
Clermont,2415035,52.4917,52.3985
Saint-Siméon,2415058,51.6484,53.75
Baie-Sainte-Catherine,2415065,50,57.1429
Mont-Élie,2415902,50,60
Sagard,2415904,40,40
Petite-Rivière-Saint-François,2416005,56.044,56.4706
Baie-Saint-Paul,2416013,52.1674,52.2152
L'Isle-aux-Coudres,2416023,43.75,45.7831
Les Éboulements,2416048,56.0811,56.1151
Saint-Hilarion,2416050,53.3333,53.9823
Saint-Urbain,2416055,49.1803,49.1228
Saint-Omer,2417005,51.6129,59.2593
Saint-Pamphile,2417010,57.1429,56.6038
Saint-Adalbert,2417015,53.1915,51.1628
Saint-Marcel,2417020,63.4146,63.1579
Sainte-Félicité,2417025,58.5366,60.5263
Sainte-Perpétue,2417030,53.3333,53.3333
Tourville,2417035,52,53.3333
Saint-Damase-de-L'Islet,2417040,59.322,58.4906
Saint-Cyrille-de-Lessard,2417045,56.9444,56.25
Saint-Aubert,2417055,56.9444,57.3529
Sainte-Louise,2417060,49.3151,50
Saint-Roch-des-Aulnaies,2417065,58.2418,57.6471
Saint-Jean-Port-Joli,2417070,53.0675,52.4917
L'Islet,2417078,56.6038,56.8966
Saint-Just-de-Bretenières,2418005,48,47.8261
Lac-Frontière,2418010,53.3333,53.8462
Saint-Fabien-de-Panet,2418015,52.0548,50.7463
Sainte-Lucie-de-Beauregard,2418020,60,50
Sainte-Apolline-de-Patton,2418025,53.6585,50
Saint-Paul-de-Montminy,2418030,53.6232,53.125
Sainte-Euphémie-sur-Rivière-du-Sud,2418035,60,60.7143
Notre-Dame-du-Rosaire,2418040,54.2857,53.125
Cap-Saint-Ignace,2418045,55.8065,56.4626
Montmagny,2418050,53.1716,54.1916
Saint-Pierre-de-la-Rivière-du-Sud,2418055,57.2917,58.6957
Saint-François-de-la-Rivière-du-Sud,2418060,56.4417,56.6879
Berthier-sur-Mer,2418065,50.6098,52.2293
Saint-Antoine-de-l'Isle-aux-Grues,2418070,42.8571,42.8571
Saint-Philémon,2419005,60.3774,62.5
Notre-Dame-Auxiliatrice-de-Buckland,2419010,62.069,59.0361
Saint-Nazaire-de-Dorchester,2419015,56.25,53.3333
Saint-Léon-de-Standon,2419020,59.375,57.9545
Saint-Malachie,2419025,54.6512,55.2147
Saint-Damien-de-Buckland,2419030,56.4706,57.5
Armagh,2419037,54.8387,55.4545
Saint-Nérée-de-Bellechasse,2419045,49.2754,50.7692
Saint-Lazare-de-Bellechasse,2419050,57.3427,58.209
Sainte-Claire,2419055,56.1308,56.2147
Saint-Anselme,2419062,56.0811,56
Saint-Henri,2419068,53.4024,53.8462
Honfleur,2419070,56.5217,56.9767
Saint-Gervais,2419075,53.7549,54.3568
Saint-Raphaël,2419082,53.1746,53.8136
La Durantaye,2419090,57.1429,55.5556
Saint-Charles-de-Bellechasse,2419097,56.2278,55.9259
Beaumont,2419105,52.7869,52.5773
Saint-Michel-de-Bellechasse,2419110,50.8671,52.1739
Saint-Vallier,2419117,52.7273,52.7778
Saint-François-de-l'Île-d'Orléans,2420005,50.7463,50
Sainte-Famille-de-l'Île-d'Orléans,2420010,60.2564,59.2105
Saint-Jean-de-l'Île-d'Orléans,2420015,51.7857,52.4272
Saint-Laurent-de-l'Île-d'Orléans,2420020,50.2924,50
Saint-Pierre-de-l'Île-d'Orléans,2420025,49.162,48.503
Sainte-Pétronille,2420030,50,51.6129
Saint-Tite-des-Caps,2421005,55.2632,53.6765
Saint-Ferréol-les-Neiges,2421010,53.1863,53.0343
Saint-Joachim,2421020,56.1151,56.5891
Beaupré,2421025,50.3797,50.9589
Sainte-Anne-de-Beaupré,2421030,52.381,52.0161
Château-Richer,2421035,54.371,53.9863
L'Ange-Gardien,2421040,50.2326,51.3447
Boischatel,2421045,50.6667,51.1085
Sainte-Catherine-de-la-Jacques-Cartier,2422005,52.6596,52.7778
Fossambault-sur-le-Lac,2422010,50.996,51.4644
Lac-Saint-Joseph,2422015,57.1429,57.1429
Shannon,2422020,53.3153,54.0084
Saint-Gabriel-de-Valcartier,2422025,52.5478,52.2034
Lac-Delage,2422030,50.5747,50
Stoneham-et-Tewkesbury,2422035,52.6499,52.583
Lac-Beauport,2422040,50.6764,51.5317
Sainte-Brigitte-de-Laval,2422045,52.183,52.0131
Québec,2423027,51.4779,51.5193
L'Ancienne-Lorette,2423057,52.081,52.266
Saint-Augustin-de-Desmaures,2423072,51.7849,51.9839
Wendake,2423802,51.2712,51.1312
Lévis,2425213,51.1987,51.5024
Frampton,2426005,59.5745,61.0294
Saints-Anges,2426010,54.6099,54.4118
Vallée-Jonction,2426015,56.1576,56.6327
Saint-Elzéar,2426022,52.5478,52.9801
Sainte-Marie,2426030,52.1524,52.7097
Sainte-Marguerite,2426035,52.2388,53.125
Sainte-Hénédine,2426040,54.3478,56.391
Scott,2426048,52.7027,51.9298
Saint-Bernard,2426055,54.2088,55.4007
Saint-Isidore,2426063,53.5433,54.1436
Saint-Lambert-de-Lauzon,2426070,52.7529,52.6104
Saint-Victor,2427008,56.705,56.8
Saint-Alfred,2427015,56.7164,57.1429
Beauceville,2427028,53.6547,53.0945
Saint-Odilon-de-Cranbourne,2427035,55.7823,55.6338
Saint-Joseph-de-Beauce,2427043,53.9474,55.0495
Saint-Joseph-des-Érables,2427050,63.4146,62.5
Saint-Jules,2427055,52.8302,52.9412
Tring-Jonction,2427060,54.321,54.5455
Saint-Frédéric,2427065,52.7778,52.3364
Saint-Séverin,2427070,57.1429,52.6316
Saint-Zacharie,2428005,58.1818,60.6667
Sainte-Aurélie,2428015,56.3218,58.0247
Saint-Prosper,2428020,54.5961,54.4643
Saint-Benjamin,2428025,52.7273,54.902
Sainte-Rose-de-Watford,2428030,51.8072,51.2821
Saint-Louis-de-Gonzague,2428035,56.8182,52.5
Saint-Cyprien,2428040,52.9412,53.3333
Sainte-Justine,2428045,56.8421,57.6923
Lac-Etchemin,2428053,54.4643,53.8941
Saint-Luc-de-Bellechasse,2428060,61.5385,58.3333
Sainte-Sabine,2428065,54.8387,55.1724
Saint-Camille-de-Lellis,2428070,59.375,63.7931
Saint-Magloire,2428075,55.814,54.7619
Saint-Théophile,2429005,51.9481,52.7027
Saint-Gédéon-de-Beauce,2429013,53.4562,54.067
Saint-Hilaire-de-Dorset,2429020,45.4545,45.4545
Saint-Évariste-de-Forsyth,2429025,57.1429,57.1429
La Guadeloupe,2429030,55.3763,54.4444
Saint-Honoré-de-Shenley,2429038,59.887,59.5238
Saint-Martin,2429045,55.7196,56.25
Saint-René,2429050,57.6923,56.25
Saint-Côme--Linière,2429057,56.3636,57.7922
Saint-Philibert,2429065,69.697,67.7419
Saint-Georges,2429073,53.0461,53.4928
Lac-Poulin,2429095,47.0588,47.0588
Saint-Benoît-Labre,2429100,54.4041,54.6961
Saint-Éphrem-de-Beauce,2429112,58.6207,59.3625
Notre-Dame-des-Pins,2429120,53.4314,52.9101
Saint-Simon-les-Mines,2429125,52.7027,55.7143
Saint-Augustin-de-Woburn,2430005,58.7302,64.1509
Notre-Dame-des-Bois,2430010,61.25,61.6438
Val-Racine,2430015,46.6667,46.6667
Piopolis,2430020,45.4545,50
Frontenac,2430025,56.5217,57.2254
Lac-Mégantic,2430030,51.7375,51.1482
Marston,2430035,50.7042,50.7246
Milan,2430040,55.1724,60
Nantes,2430045,57.3333,57.2464
Sainte-Cécile-de-Whitton,2430050,56.0976,55.8442
Audet,2430055,46.3768,46.9697
Saint-Robert-Bellarmin,2430070,57.1429,57.4074
Saint-Ludger,2430072,55.7522,56.0748
Lac-Drolet,2430080,54.8673,53.6364
Saint-Sébastien,2430085,58.209,59.375
Courcelles,2430090,58.0247,57.5
Lambton,2430095,51.8987,52.9801
Saint-Romain,2430100,54.5455,53.8462
Stornoway,2430105,51.3514,49.2958
Stratford,2430110,57.1429,55.4217
Beaulac-Garthby,2431008,53.5211,52.2388
Disraeli,2431015,56.7442,58.2524
Disraeli,2431020,59.4595,59.0476
Saint-Jacques-le-Majeur-de-Wolfestown,2431025,80,78.5714
Saint-Fortunat,2431030,48.7805,51.2821
Saint-Julien,2431035,55.1724,59.2593
Irlande,2431040,53.4091,53.1646
Saint-Joseph-de-Coleraine,2431045,55.9748,55.2448
Sainte-Praxède,2431050,54.1667,54.1667
Adstock,2431056,56.1151,56.4885
Sainte-Clotilde-de-Beauce,2431060,55.3846,57.1429
Thetford Mines,2431084,52.6496,53.1565
Saint-Adrien-d'Irlande,2431095,59.0909,60.4651
Saint-Jean-de-Brébeuf,2431100,55,55
Kinnear's Mills,2431105,63.0435,65.9091
East Broughton,2431122,55.1111,54.9763
Sacré-Coeur-de-Jésus,2431130,57.1429,55.5556
Saint-Pierre-de-Broughton,2431135,57.4468,55.5556
Saint-Jacques-de-Leeds,2431140,59.7015,57.377
Saint-Ferdinand,2432013,54.1667,54.3956
Sainte-Sophie-d'Halifax,2432023,56.6667,55.1724
Princeville,2432033,53.7589,53.4815
Plessisville,2432040,54.4141,54.9834
Plessisville,2432045,54.3919,54.3253
Saint-Pierre-Baptiste,2432050,63.6364,65.0794
Inverness,2432058,56.4706,58.5366
Lyster,2432065,55.9006,56.9536
Laurierville,2432072,55,57.1429
Notre-Dame-de-Lourdes,2432080,54.3478,57.6471
Villeroy,2432085,50,52.9412
Saint-Sylvestre,2433007,55.4545,56.3107
Sainte-Agathe-de-Lotbinière,2433017,58.4071,57.2727
Saint-Patrice-de-Beaurivage,2433025,52.1008,53.0435
Saint-Narcisse-de-Beaurivage,2433030,59.4203,60
Saint-Gilles,2433035,54.5752,56.0554
Dosquet,2433040,53.271,54.3689
Saint-Agapit,2433045,54.4732,54.4304
Saint-Flavien,2433052,56.9767,58.0838
Laurier-Station,2433060,53.6585,53.9568
Saint-Janvier-de-Joly,2433065,55.8559,54.902
Val-Alain,2433070,53.3981,51.5464
Saint-Édouard-de-Lotbinière,2433080,59.0909,60.1563
Notre-Dame-du-Sacré-Coeur-d'Issoudun,2433085,55.3398,56.1224
Saint-Apollinaire,2433090,52.3143,52.1158
Saint-Antoine-de-Tilly,2433095,51.2048,52.795
Sainte-Croix,2433102,57.8125,58.6777
Lotbinière,2433115,50.6849,50
Leclercville,2433123,53.6585,53.6585
Neuville,2434007,53.0146,52.9801
Pont-Rouge,2434017,52.9357,53.1523
Donnacona,2434025,52.9661,53.3923
Cap-Santé,2434030,52.1277,52.2222
Saint-Basile,2434038,54.9451,54.2969
Portneuf,2434048,54.321,53.9735
Deschambault-Grondines,2434058,54.2601,53.3019
Saint-Gilbert,2434060,64.5161,63.3333
Saint-Marc-des-Carrières,2434065,55.5985,55.4167
Saint-Casimir,2434078,55.2239,57.0313
Saint-Thuribe,2434085,52.1739,54.5455
Saint-Ubalde,2434090,51.6393,52.2523
Saint-Alban,2434097,57.9832,59.633
Sainte-Christine-d'Auvergne,2434105,60.6557,57.8947
Saint-Léonard-de-Portneuf,2434115,54.386,52.7778
Lac-Sergent,2434120,45.8333,46.8085
Saint-Raymond,2434128,53.3964,52.8285
Rivière-à-Pierre,2434135,57.1429,53.7037
Notre-Dame-de-Montauban,2435005,60.3774,57.4468
Lac-aux-Sables,2435010,55,53.8462
Saint-Adelphe,2435015,54.2553,52.809
Saint-Séverin,2435020,51.6854,51.2821
Saint-Tite,2435027,51.9231,51.7007
Hérouxville,2435035,48.0916,47.9339
Grandes-Piles,2435040,64.2857,63.8889
Saint-Roch-de-Mékinac,2435045,55.5556,55.814
Sainte-Thècle,2435050,54.0107,53.8012
Trois-Rives,2435055,51.1628,53.8462
Shawinigan,2436033,52.0529,51.6307
Trois-Rivières,2437067,50.9317,50.4751
Sainte-Anne-de-la-Pérade,2437205,54.491,56.051
Batiscan,2437210,48.8095,49.3671
Sainte-Geneviève-de-Batiscan,2437215,54.8077,55.102
Champlain,2437220,55.8824,57.3171
Saint-Luc-de-Vincennes,2437225,56.6667,57.4074
Saint-Maurice,2437230,53.7396,53.6657
Notre-Dame-du-Mont-Carmel,2437235,54.3548,53.9898
Saint-Narcisse,2437240,55.6886,56.6879
Saint-Stanislas,2437245,54.0816,56.5217
Saint-Prosper-de-Champlain,2437250,51.3514,52.9412
Saint-Sylvère,2438005,57.7778,60
Bécancour,2438010,51.3243,51.1244
Sainte-Marie-de-Blandford,2438015,70,61.1111
Lemieux,2438020,50,52.1739
Manseau,2438028,59.6774,55.1724
Sainte-Françoise,2438035,54.2373,52.7273
Sainte-Sophie-de-Lévrard,2438040,60.9375,56.3636
Fortierville,2438047,50,52
Parisville,2438055,52.9412,54.5455
Sainte-Cécile-de-Lévrard,2438060,51.1628,52.381
Saint-Pierre-les-Becquets,2438065,51.4563,52.6316
Deschaillons-sur-Saint-Laurent,2438070,57.3333,55.7143
Wôlinak,2438802,52.381,47.619
Saints-Martyrs-Canadiens,2439005,60,63.1579
Ham-Nord,2439010,59.7403,58.3333
Notre-Dame-de-Ham,2439015,55.3191,54.5455
Saint-Rémi-de-Tingwick,2439020,56.4103,56.4103
Tingwick,2439025,53.8922,55.9748
Chesterville,2439030,56.5217,58.427
Sainte-Hélène-de-Chester,2439035,53.4884,56.4103
Saint-Norbert-d'Arthabaska,2439043,57.0313,57.1429
Saint-Christophe-d'Arthabaska,2439060,53.3708,53.5294
Victoriaville,2439062,50.9067,51.1518
Warwick,2439077,53.0043,52.4887
Saint-Albert,2439085,54.2289,54.1237
Sainte-Élizabeth-de-Warwick,2439090,59.5745,57.4468
Kingsey Falls,2439097,55.0847,54.9107
Sainte-Séraphine,2439105,62.1622,62.1622
Sainte-Clotilde-de-Horton,2439117,60.2649,59.3333
Saint-Samuel,2439130,53.4884,52.439
Saint-Valère,2439135,55.6338,55.3957
Saint-Rosaire,2439145,57,57.6087
Daveluyville,2439152,57.384,56.6964
Maddington Falls,2439165,59.5745,54.5455
Saint-Louis-de-Blandford,2439170,57.3913,57.6577
Ham-Sud,2440005,60,57.8947
Saint-Adrien,2440010,54,56.5217
Wotton,2440017,53.3333,53.6
Saint-Camille,2440025,55.7692,55.102
Saint-Georges-de-Windsor,2440032,52.6882,52.2222
Val-des-Sources,2440043,53.6178,53.7832
Danville,2440047,54.3081,55.0279
Saint-Isidore-de-Clifton,2441012,53.4247,55.7143
Chartierville,2441020,50,53.125
La Patrie,2441027,56.0606,57.377
Newport,2441037,49.2754,50.7937
Cookshire-Eaton,2441038,54.7993,54.731
Ascot Corner,2441055,51.7333,51.6575
East Angus,2441060,54.2029,55.6923
Westbury,2441065,53.4653,53.6082
Bury,2441070,59.1304,62.2642
Hampden,2441075,41.6667,40
Scotstown,2441080,47.9167,44.4444
Lingwick,2441085,56.7568,57.5758
Weedon,2441098,54.1667,53.8117
Dudswell,2441117,55.6757,55.7471
Stoke,2442005,52.3511,52.1739
Saint-François-Xavier-de-Brompton,2442020,53.8745,54.1667
Saint-Denis-de-Brompton,2442025,51.8443,51.3919
