REF_DATE,GEO,DGUID,Gender (3a),Age (8G),Statistics (5),Coordinate,Indigenous identity (9):Total - Indigenous identity[1],Symbol,Indigenous identity (9):Indigenous identity[2],Symbol,Indigenous identity (9):Single Indigenous responses[3],Symbol,Indigenous identity (9):First Nations (North American Indian)[4],Symbol,Indigenous identity (9):Métis[5],Symbol,Indigenous identity (9):Inuk (Inuit)[6],Symbol,Indigenous identity (9):Multiple Indigenous responses[7],Symbol,Indigenous identity (9):Indigenous responses not included elsewhere[8],Symbol,Indigenous identity (9):Non-Indigenous identity[9],Symbol
2021,Sunnyside,2021A00051001277,Total - Gender,55 to 64 years,% change (2016 to 2021),37.1.7.5,-10,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-20,
2021,Sunnyside,2021A00051001277,Total - Gender,65 years and over,2021 Counts,37.1.8.1,150,,0,,0,,0,,0,,0,,0,,0,,150,
2021,Sunnyside,2021A00051001277,Total - Gender,65 years and over,2016 Counts,37.1.8.2,105,,0,,0,,0,,0,,0,,0,,0,,105,
2021,Sunnyside,2021A00051001277,Total - Gender,65 years and over,% distribution (2021),37.1.8.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Total - Gender,65 years and over,% distribution (2016),37.1.8.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Total - Gender,65 years and over,% change (2016 to 2021),37.1.8.5,38.1,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,38.1,
2021,Sunnyside,2021A00051001277,Men+,Total - Age,2021 Counts,37.2.1.1,245,,0,,0,,0,,0,,0,,0,,0,,245,
2021,Sunnyside,2021A00051001277,Men+,Total - Age,2016 Counts,37.2.1.2,200,,0,,0,,0,,0,,0,,0,,0,,195,
2021,Sunnyside,2021A00051001277,Men+,Total - Age,% distribution (2021),37.2.1.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,Total - Age,% distribution (2016),37.2.1.4,100,,0,,0,,0,,0,,0,,0,,0,,97.5,
2021,Sunnyside,2021A00051001277,Men+,Total - Age,% change (2016 to 2021),37.2.1.5,25,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,25.6,
2021,Sunnyside,2021A00051001277,Men+,0 to 14 years,2021 Counts,37.2.2.1,40,,0,,0,,0,,0,,0,,0,,0,,40,
2021,Sunnyside,2021A00051001277,Men+,0 to 14 years,2016 Counts,37.2.2.2,30,,0,,0,,0,,0,,0,,0,,0,,30,
2021,Sunnyside,2021A00051001277,Men+,0 to 14 years,% distribution (2021),37.2.2.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,0 to 14 years,% distribution (2016),37.2.2.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,0 to 14 years,% change (2016 to 2021),37.2.2.5,50,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Sunnyside,2021A00051001277,Men+,15 to 24 years,2021 Counts,37.2.3.1,15,,0,,0,,0,,0,,0,,0,,0,,15,
2021,Sunnyside,2021A00051001277,Men+,15 to 24 years,2016 Counts,37.2.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Sunnyside,2021A00051001277,Men+,15 to 24 years,% distribution (2021),37.2.3.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,15 to 24 years,% distribution (2016),37.2.3.4,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Sunnyside,2021A00051001277,Men+,15 to 24 years,% change (2016 to 2021),37.2.3.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Sunnyside,2021A00051001277,Men+,25 to 34 years,2021 Counts,37.2.4.1,25,,0,,0,,0,,0,,0,,0,,0,,25,
2021,Sunnyside,2021A00051001277,Men+,25 to 34 years,2016 Counts,37.2.4.2,15,,0,,0,,0,,0,,0,,0,,0,,15,
2021,Sunnyside,2021A00051001277,Men+,25 to 34 years,% distribution (2021),37.2.4.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,25 to 34 years,% distribution (2016),37.2.4.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,25 to 34 years,% change (2016 to 2021),37.2.4.5,66.7,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Sunnyside,2021A00051001277,Men+,35 to 44 years,2021 Counts,37.2.5.1,30,,0,,0,,0,,0,,0,,0,,0,,30,
2021,Sunnyside,2021A00051001277,Men+,35 to 44 years,2016 Counts,37.2.5.2,20,,0,,0,,0,,0,,0,,0,,0,,20,
2021,Sunnyside,2021A00051001277,Men+,35 to 44 years,% distribution (2021),37.2.5.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,35 to 44 years,% distribution (2016),37.2.5.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,35 to 44 years,% change (2016 to 2021),37.2.5.5,25,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,25,
2021,Sunnyside,2021A00051001277,Men+,45 to 54 years,2021 Counts,37.2.6.1,45,,0,,0,,0,,0,,0,,0,,0,,45,
2021,Sunnyside,2021A00051001277,Men+,45 to 54 years,2016 Counts,37.2.6.2,40,,0,,0,,0,,0,,0,,0,,0,,40,
2021,Sunnyside,2021A00051001277,Men+,45 to 54 years,% distribution (2021),37.2.6.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,45 to 54 years,% distribution (2016),37.2.6.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,45 to 54 years,% change (2016 to 2021),37.2.6.5,12.5,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,12.5,
2021,Sunnyside,2021A00051001277,Men+,55 to 64 years,2021 Counts,37.2.7.1,20,,0,,0,,0,,0,,0,,0,,0,,20,
2021,Sunnyside,2021A00051001277,Men+,55 to 64 years,2016 Counts,37.2.7.2,40,,0,,0,,0,,0,,0,,0,,0,,40,
2021,Sunnyside,2021A00051001277,Men+,55 to 64 years,% distribution (2021),37.2.7.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,55 to 64 years,% distribution (2016),37.2.7.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,55 to 64 years,% change (2016 to 2021),37.2.7.5,-37.5,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-50,
2021,Sunnyside,2021A00051001277,Men+,65 years and over,2021 Counts,37.2.8.1,75,,0,,0,,0,,0,,0,,0,,0,,75,
2021,Sunnyside,2021A00051001277,Men+,65 years and over,2016 Counts,37.2.8.2,45,,0,,0,,0,,0,,0,,0,,0,,45,
2021,Sunnyside,2021A00051001277,Men+,65 years and over,% distribution (2021),37.2.8.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,65 years and over,% distribution (2016),37.2.8.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Men+,65 years and over,% change (2016 to 2021),37.2.8.5,66.7,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,66.7,
2021,Sunnyside,2021A00051001277,Women+,Total - Age,2021 Counts,37.3.1.1,230,,0,,0,,0,,0,,0,,0,,0,,225,
2021,Sunnyside,2021A00051001277,Women+,Total - Age,2016 Counts,37.3.1.2,215,,0,,0,,0,,0,,0,,0,,0,,215,
2021,Sunnyside,2021A00051001277,Women+,Total - Age,% distribution (2021),37.3.1.3,100,,0,,0,,0,,0,,0,,0,,0,,97.8,
2021,Sunnyside,2021A00051001277,Women+,Total - Age,% distribution (2016),37.3.1.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,Total - Age,% change (2016 to 2021),37.3.1.5,7,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4.7,
2021,Sunnyside,2021A00051001277,Women+,0 to 14 years,2021 Counts,37.3.2.1,20,,0,,0,,0,,0,,0,,0,,0,,20,
2021,Sunnyside,2021A00051001277,Women+,0 to 14 years,2016 Counts,37.3.2.2,30,,0,,0,,0,,0,,0,,0,,0,,25,
2021,Sunnyside,2021A00051001277,Women+,0 to 14 years,% distribution (2021),37.3.2.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,0 to 14 years,% distribution (2016),37.3.2.4,100,,0,,0,,0,,0,,0,,0,,0,,83.3,
2021,Sunnyside,2021A00051001277,Women+,0 to 14 years,% change (2016 to 2021),37.3.2.5,-33.3,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Sunnyside,2021A00051001277,Women+,15 to 24 years,2021 Counts,37.3.3.1,35,,0,,0,,0,,0,,0,,0,,0,,35,
2021,Sunnyside,2021A00051001277,Women+,15 to 24 years,2016 Counts,37.3.3.2,25,,0,,0,,0,,0,,0,,0,,0,,25,
2021,Sunnyside,2021A00051001277,Women+,15 to 24 years,% distribution (2021),37.3.3.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,15 to 24 years,% distribution (2016),37.3.3.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,15 to 24 years,% change (2016 to 2021),37.3.3.5,60,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,60,
2021,Sunnyside,2021A00051001277,Women+,25 to 34 years,2021 Counts,37.3.4.1,15,,0,,0,,0,,0,,0,,0,,0,,10,
2021,Sunnyside,2021A00051001277,Women+,25 to 34 years,2016 Counts,37.3.4.2,10,,0,,0,,0,,0,,0,,0,,0,,10,
2021,Sunnyside,2021A00051001277,Women+,25 to 34 years,% distribution (2021),37.3.4.3,100,,0,,0,,0,,0,,0,,0,,0,,66.7,
2021,Sunnyside,2021A00051001277,Women+,25 to 34 years,% distribution (2016),37.3.4.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,25 to 34 years,% change (2016 to 2021),37.3.4.5,100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Sunnyside,2021A00051001277,Women+,35 to 44 years,2021 Counts,37.3.5.1,25,,0,,0,,0,,0,,0,,0,,0,,25,
2021,Sunnyside,2021A00051001277,Women+,35 to 44 years,2016 Counts,37.3.5.2,35,,0,,0,,0,,0,,0,,0,,0,,35,
2021,Sunnyside,2021A00051001277,Women+,35 to 44 years,% distribution (2021),37.3.5.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,35 to 44 years,% distribution (2016),37.3.5.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,35 to 44 years,% change (2016 to 2021),37.3.5.5,-28.6,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-28.6,
2021,Sunnyside,2021A00051001277,Women+,45 to 54 years,2021 Counts,37.3.6.1,35,,0,,0,,0,,0,,0,,0,,0,,35,
2021,Sunnyside,2021A00051001277,Women+,45 to 54 years,2016 Counts,37.3.6.2,45,,0,,0,,0,,0,,0,,0,,0,,45,
2021,Sunnyside,2021A00051001277,Women+,45 to 54 years,% distribution (2021),37.3.6.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,45 to 54 years,% distribution (2016),37.3.6.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,45 to 54 years,% change (2016 to 2021),37.3.6.5,-22.2,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-22.2,
2021,Sunnyside,2021A00051001277,Women+,55 to 64 years,2021 Counts,37.3.7.1,20,,0,,0,,0,,0,,0,,0,,0,,20,
2021,Sunnyside,2021A00051001277,Women+,55 to 64 years,2016 Counts,37.3.7.2,10,,0,,0,,0,,0,,0,,0,,0,,10,
2021,Sunnyside,2021A00051001277,Women+,55 to 64 years,% distribution (2021),37.3.7.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,55 to 64 years,% distribution (2016),37.3.7.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,55 to 64 years,% change (2016 to 2021),37.3.7.5,100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,100,
2021,Sunnyside,2021A00051001277,Women+,65 years and over,2021 Counts,37.3.8.1,75,,0,,0,,0,,0,,0,,0,,0,,75,
2021,Sunnyside,2021A00051001277,Women+,65 years and over,2016 Counts,37.3.8.2,55,,0,,0,,0,,0,,0,,0,,0,,55,
2021,Sunnyside,2021A00051001277,Women+,65 years and over,% distribution (2021),37.3.8.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,65 years and over,% distribution (2016),37.3.8.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Sunnyside,2021A00051001277,Women+,65 years and over,% change (2016 to 2021),37.3.8.5,27.3,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,27.3,
2021,Chance Cove,2021A00051001281,Total - Gender,Total - Age,2021 Counts,38.1.1.1,200,,0,,0,,0,,0,,0,,0,,0,,200,
2021,Chance Cove,2021A00051001281,Total - Gender,Total - Age,2016 Counts,38.1.1.2,260,,25,,25,,0,,0,,15,,0,,0,,240,
2021,Chance Cove,2021A00051001281,Total - Gender,Total - Age,% distribution (2021),38.1.1.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Total - Gender,Total - Age,% distribution (2016),38.1.1.4,100,,9.6,,9.6,,0,,0,,5.8,,0,,0,,92.3,
2021,Chance Cove,2021A00051001281,Total - Gender,Total - Age,% change (2016 to 2021),38.1.1.5,-21.2,,-100,,-100,,0,...,0,...,0,...,0,...,0,...,-16.7,
2021,Chance Cove,2021A00051001281,Total - Gender,0 to 14 years,2021 Counts,38.1.2.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,0 to 14 years,2016 Counts,38.1.2.2,10,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,0 to 14 years,% distribution (2021),38.1.2.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,0 to 14 years,% distribution (2016),38.1.2.4,100,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,0 to 14 years,% change (2016 to 2021),38.1.2.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Chance Cove,2021A00051001281,Total - Gender,15 to 24 years,2021 Counts,38.1.3.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,15 to 24 years,2016 Counts,38.1.3.2,10,,0,,0,,0,,0,,0,,0,,0,,10,
2021,Chance Cove,2021A00051001281,Total - Gender,15 to 24 years,% distribution (2021),38.1.3.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,15 to 24 years,% distribution (2016),38.1.3.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Total - Gender,15 to 24 years,% change (2016 to 2021),38.1.3.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Total - Gender,25 to 34 years,2021 Counts,38.1.4.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,25 to 34 years,2016 Counts,38.1.4.2,15,,10,,10,,0,,0,,10,,0,,0,,10,
2021,Chance Cove,2021A00051001281,Total - Gender,25 to 34 years,% distribution (2021),38.1.4.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,25 to 34 years,% distribution (2016),38.1.4.4,100,,66.7,,66.7,,0,,0,,66.7,,0,,0,,66.7,
2021,Chance Cove,2021A00051001281,Total - Gender,25 to 34 years,% change (2016 to 2021),38.1.4.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Total - Gender,35 to 44 years,2021 Counts,38.1.5.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,35 to 44 years,2016 Counts,38.1.5.2,20,,0,,0,,0,,0,,0,,0,,0,,20,
2021,Chance Cove,2021A00051001281,Total - Gender,35 to 44 years,% distribution (2021),38.1.5.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Total - Gender,35 to 44 years,% distribution (2016),38.1.5.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Total - Gender,35 to 44 years,% change (2016 to 2021),38.1.5.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Total - Gender,45 to 54 years,2021 Counts,38.1.6.1,30,,0,,0,,0,,0,,0,,0,,0,,25,
2021,Chance Cove,2021A00051001281,Total - Gender,45 to 54 years,2016 Counts,38.1.6.2,60,,0,,0,,0,,0,,0,,0,,0,,60,
2021,Chance Cove,2021A00051001281,Total - Gender,45 to 54 years,% distribution (2021),38.1.6.3,100,,0,,0,,0,,0,,0,,0,,0,,83.3,
2021,Chance Cove,2021A00051001281,Total - Gender,45 to 54 years,% distribution (2016),38.1.6.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Total - Gender,45 to 54 years,% change (2016 to 2021),38.1.6.5,-50,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-50,
2021,Chance Cove,2021A00051001281,Total - Gender,55 to 64 years,2021 Counts,38.1.7.1,55,,0,,0,,0,,0,,0,,0,,0,,55,
2021,Chance Cove,2021A00051001281,Total - Gender,55 to 64 years,2016 Counts,38.1.7.2,85,,10,,10,,0,,0,,0,,0,,0,,75,
2021,Chance Cove,2021A00051001281,Total - Gender,55 to 64 years,% distribution (2021),38.1.7.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Total - Gender,55 to 64 years,% distribution (2016),38.1.7.4,100,,11.8,,11.8,,0,,0,,0,,0,,0,,88.2,
2021,Chance Cove,2021A00051001281,Total - Gender,55 to 64 years,% change (2016 to 2021),38.1.7.5,-35.3,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-26.7,
2021,Chance Cove,2021A00051001281,Total - Gender,65 years and over,2021 Counts,38.1.8.1,110,,0,,0,,0,,0,,0,,0,,0,,110,
2021,Chance Cove,2021A00051001281,Total - Gender,65 years and over,2016 Counts,38.1.8.2,60,,0,,0,,0,,0,,0,,0,,0,,60,
2021,Chance Cove,2021A00051001281,Total - Gender,65 years and over,% distribution (2021),38.1.8.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Total - Gender,65 years and over,% distribution (2016),38.1.8.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Total - Gender,65 years and over,% change (2016 to 2021),38.1.8.5,83.3,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,83.3,
2021,Chance Cove,2021A00051001281,Men+,Total - Age,2021 Counts,38.2.1.1,110,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,Total - Age,2016 Counts,38.2.1.2,125,,15,,15,,0,,0,,15,,0,,0,,115,
2021,Chance Cove,2021A00051001281,Men+,Total - Age,% distribution (2021),38.2.1.3,100,,0,,0,,0,,0,,0,,0,,0,,90.9,
2021,Chance Cove,2021A00051001281,Men+,Total - Age,% distribution (2016),38.2.1.4,100,,12,,12,,0,,0,,12,,0,,0,,92,
2021,Chance Cove,2021A00051001281,Men+,Total - Age,% change (2016 to 2021),38.2.1.5,-16,,-100,,-100,,0,...,0,...,0,...,0,...,0,...,-8.7,
2021,Chance Cove,2021A00051001281,Men+,0 to 14 years,2021 Counts,38.2.2.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,0 to 14 years,2016 Counts,38.2.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,0 to 14 years,% distribution (2021),38.2.2.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,0 to 14 years,% distribution (2016),38.2.2.4,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,0 to 14 years,% change (2016 to 2021),38.2.2.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Chance Cove,2021A00051001281,Men+,15 to 24 years,2021 Counts,38.2.3.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,15 to 24 years,2016 Counts,38.2.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,15 to 24 years,% distribution (2021),38.2.3.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,15 to 24 years,% distribution (2016),38.2.3.4,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,15 to 24 years,% change (2016 to 2021),38.2.3.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Chance Cove,2021A00051001281,Men+,25 to 34 years,2021 Counts,38.2.4.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,25 to 34 years,2016 Counts,38.2.4.2,10,,0,,0,,0,,0,,0,,0,,0,,10,
2021,Chance Cove,2021A00051001281,Men+,25 to 34 years,% distribution (2021),38.2.4.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,25 to 34 years,% distribution (2016),38.2.4.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,25 to 34 years,% change (2016 to 2021),38.2.4.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Men+,35 to 44 years,2021 Counts,38.2.5.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,35 to 44 years,2016 Counts,38.2.5.2,10,,0,,0,,0,,0,,0,,0,,0,,10,
2021,Chance Cove,2021A00051001281,Men+,35 to 44 years,% distribution (2021),38.2.5.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Men+,35 to 44 years,% distribution (2016),38.2.5.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,35 to 44 years,% change (2016 to 2021),38.2.5.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Men+,45 to 54 years,2021 Counts,38.2.6.1,10,,0,,0,,0,,0,,0,,0,,0,,10,
2021,Chance Cove,2021A00051001281,Men+,45 to 54 years,2016 Counts,38.2.6.2,25,,0,,0,,0,,0,,0,,0,,0,,25,
2021,Chance Cove,2021A00051001281,Men+,45 to 54 years,% distribution (2021),38.2.6.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,45 to 54 years,% distribution (2016),38.2.6.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,45 to 54 years,% change (2016 to 2021),38.2.6.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Men+,55 to 64 years,2021 Counts,38.2.7.1,30,,0,,0,,0,,0,,0,,0,,0,,30,
2021,Chance Cove,2021A00051001281,Men+,55 to 64 years,2016 Counts,38.2.7.2,40,,0,,0,,0,,0,,0,,0,,0,,35,
2021,Chance Cove,2021A00051001281,Men+,55 to 64 years,% distribution (2021),38.2.7.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,55 to 64 years,% distribution (2016),38.2.7.4,100,,0,,0,,0,,0,,0,,0,,0,,87.5,
2021,Chance Cove,2021A00051001281,Men+,55 to 64 years,% change (2016 to 2021),38.2.7.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Men+,65 years and over,2021 Counts,38.2.8.1,60,,0,,0,,0,,0,,0,,0,,0,,60,
2021,Chance Cove,2021A00051001281,Men+,65 years and over,2016 Counts,38.2.8.2,35,,0,,0,,0,,0,,0,,0,,0,,35,
2021,Chance Cove,2021A00051001281,Men+,65 years and over,% distribution (2021),38.2.8.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,65 years and over,% distribution (2016),38.2.8.4,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Men+,65 years and over,% change (2016 to 2021),38.2.8.5,-100,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-100,
2021,Chance Cove,2021A00051001281,Women+,Total - Age,2021 Counts,38.3.1.1,95,,0,,0,,0,,0,,0,,0,,0,,95,
2021,Chance Cove,2021A00051001281,Women+,Total - Age,2016 Counts,38.3.1.2,130,,0,,0,,0,,0,,0,,0,,0,,120,
2021,Chance Cove,2021A00051001281,Women+,Total - Age,% distribution (2021),38.3.1.3,100,,0,,0,,0,,0,,0,,0,,0,,100,
2021,Chance Cove,2021A00051001281,Women+,Total - Age,% distribution (2016),38.3.1.4,100,,0,,0,,0,,0,,0,,0,,0,,92.3,
2021,Chance Cove,2021A00051001281,Women+,Total - Age,% change (2016 to 2021),38.3.1.5,-26.9,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,-20.8,
2021,Chance Cove,2021A00051001281,Women+,0 to 14 years,2021 Counts,38.3.2.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,0 to 14 years,2016 Counts,38.3.2.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,0 to 14 years,% distribution (2021),38.3.2.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,0 to 14 years,% distribution (2016),38.3.2.4,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,0 to 14 years,% change (2016 to 2021),38.3.2.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
2021,Chance Cove,2021A00051001281,Women+,15 to 24 years,2021 Counts,38.3.3.1,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,15 to 24 years,2016 Counts,38.3.3.2,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,15 to 24 years,% distribution (2021),38.3.3.3,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,15 to 24 years,% distribution (2016),38.3.3.4,0,,0,,0,,0,,0,,0,,0,,0,,0,
2021,Chance Cove,2021A00051001281,Women+,15 to 24 years,% change (2016 to 2021),38.3.3.5,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
